id;fila;columna;estado_asiento;persona;bloqueado_hasta
1;23268;14666;LIBRE;awkwardly;2025-11-12T23:11:29
2;24330;5831;OCUPADO;quantify hm;2025-11-12T22:56:03
3;21310;12241;OCUPADO;vacantly;2025-11-13T14:55:09
4;23695;11723;YA_BLOQUEADO;terraform;2025-11-13T03:46:12
5;30826;16771;NO_VALIDO;mechanically er;2025-11-13T16:43:53
6;6934;29704;YA_BLOQUEADO;mmm digital yet;2025-11-13T15:20:51
7;8804;30857;NO_VALIDO;the habit;2025-11-13T04:22:39
8;25634;15050;BLOQUEADO;pharmacopoeia french extremely;2025-11-13T17:18:51
9;4611;8347;BLOQUEADO;notwithstanding along;2025-11-13T16:53:43
10;20438;5865;OCUPADO;yum;2025-11-13T13:25:55
