id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;columna_asientos;precio_entrada
1;relaunch blah sediment;patiently;../fake-data/blob/hipster.txt;2025-11-13T03:54:25;roughly slap nor;../fake-data/blob/hipster.txt;23443;18;707.22
2;painfully lest boo;carelessly;../fake-data/blob/hipster.txt;2025-11-12T22:17:13;shakily er;../fake-data/blob/hipster.txt;8927;17399;421.01
3;supposing place yet;congregate firsthand;../fake-data/blob/hipster.txt;2025-11-12T23:07:53;likewise often until;../fake-data/blob/hipster.txt;22745;12562;11068.75
4;below well-lit excluding;supposing;../fake-data/blob/hipster.txt;2025-11-13T10:02:14;without innocently;../fake-data/blob/hipster.txt;22824;32618;21058.64
5;attest;common oof;../fake-data/blob/hipster.txt;2025-11-13T10:09:42;ramp before prudent;../fake-data/blob/hipster.txt;31;11351;29686.68
6;understated why;aside doubter;../fake-data/blob/hipster.txt;2025-11-13T06:58:05;overplay;../fake-data/blob/hipster.txt;21198;8026;19768.2
7;however;among duh;../fake-data/blob/hipster.txt;2025-11-13T12:49:15;if;../fake-data/blob/hipster.txt;12573;13495;8368.29
8;whoever a;meager queasily;../fake-data/blob/hipster.txt;2025-11-13T02:58:33;vivaciously out geez;../fake-data/blob/hipster.txt;7595;28826;15227.6
9;off plastic;woot;../fake-data/blob/hipster.txt;2025-11-13T19:27:28;as since embed;../fake-data/blob/hipster.txt;7382;948;10692.72
10;goat unique cleverly;converse straight;../fake-data/blob/hipster.txt;2025-11-13T11:33:05;thoughtfully whoever innocently;../fake-data/blob/hipster.txt;19820;616;3353.19
