id;token_jwt;fecha_inicio;fecha_expiracion;activa;ultimo_acceso;evento_seleccionado;estado_sesion;asientos_seleccionados;cantidad_asientos
1;../fake-data/blob/hipster.txt;2025-11-12T20:20:36;2025-11-13T15:18:29;false;2025-11-13T18:02:29;28596;EVENTO_SELECCIONADO;../fake-data/blob/hipster.txt;7978
2;../fake-data/blob/hipster.txt;2025-11-13T13:57:16;2025-11-13T10:56:42;true;2025-11-13T18:22:43;1419;EVENTO_SELECCIONADO;../fake-data/blob/hipster.txt;19104
3;../fake-data/blob/hipster.txt;2025-11-13T03:28:35;2025-11-13T18:34:06;true;2025-11-12T22:35:56;4607;ASIENTOS_BLOQUEADOS;../fake-data/blob/hipster.txt;13830
4;../fake-data/blob/hipster.txt;2025-11-13T09:48:51;2025-11-13T03:24:12;true;2025-11-13T09:05:07;11911;DATOS_COMPLETOS;../fake-data/blob/hipster.txt;16023
5;../fake-data/blob/hipster.txt;2025-11-13T06:53:47;2025-11-13T05:03:35;true;2025-11-12T22:39:11;7011;EVENTO_SELECCIONADO;../fake-data/blob/hipster.txt;24201
6;../fake-data/blob/hipster.txt;2025-11-12T21:15:49;2025-11-13T10:55:03;true;2025-11-13T13:57:43;25487;LISTA_EVENTOS;../fake-data/blob/hipster.txt;18333
7;../fake-data/blob/hipster.txt;2025-11-13T10:55:21;2025-11-13T17:05:59;false;2025-11-13T04:46:25;27694;LISTA_EVENTOS;../fake-data/blob/hipster.txt;13588
8;../fake-data/blob/hipster.txt;2025-11-13T10:19:16;2025-11-13T02:26:39;true;2025-11-13T04:09:16;17854;DATOS_COMPLETOS;../fake-data/blob/hipster.txt;26883
9;../fake-data/blob/hipster.txt;2025-11-13T01:00:19;2025-11-12T23:03:50;false;2025-11-13T18:07:13;17855;LISTA_EVENTOS;../fake-data/blob/hipster.txt;32003
10;../fake-data/blob/hipster.txt;2025-11-13T11:16:46;2025-11-13T17:25:38;false;2025-11-13T12:54:03;7950;DATOS_COMPLETOS;../fake-data/blob/hipster.txt;20065
