id;fecha_venta;resultado;descripcion;precio_venta;cantidad_asientos;estado_venta
1;2025-11-12T20:41:32;true;affect warped advertisement;11322.78;5201;PENDIENTE
2;2025-11-13T14:46:13;true;sugary broken;26559.27;9900;CONFIRMADA
3;2025-11-12T20:29:54;false;overtrain academics alongside;10042.64;21791;RECHAZADA
4;2025-11-12T23:45:07;true;convection spark;24918.55;3222;ERROR_SINCRONIZACION
5;2025-11-13T01:44:18;false;begonia busy;26233.68;793;ERROR_SINCRONIZACION
6;2025-11-13T13:40:40;true;late;18468.51;21642;CONFIRMADA
7;2025-11-13T18:22:02;false;focused mask excepting;20685.52;29063;CONFIRMADA
8;2025-11-12T22:26:10;false;between;26482.63;3304;CONFIRMADA
9;2025-11-13T02:06:16;true;rival;26437.41;19975;RECHAZADA
10;2025-11-13T15:26:41;true;sharply;11622.56;24801;ERROR_SINCRONIZACION
